Age,Weight_kg,Exercise_min_per_day,Fitness_Status
46,89,58,Unfit
39,65,41,Fit
31,71,42,Fit
21,95,31,Unfit
26,64,41,Fit
37,96,37,Unfit
30,53,26,Unfit
21,77,55,Fit
44,84,46,Fit
43,71,52,Fit
22,58,54,Fit
29,61,59,Fit
24,75,52,Fit
23,66,12,Unfit
45,88,19,Unfit
32,86,50,Unfit
35,92,10,Unfit
40,74,26,Unfit
22,65,21,Unfit
44,62,47,Fit
26,52,35,Unfit
22,52,57,Fit
22,91,48,Unfit
22,59,31,Unfit
39,91,38,Unfit
47,74,10,Unfit
42,66,44,Fit
32,56,63,Fit
38,68,11,Unfit
26,72,11,Unfit
48,57,24,Unfit
50,53,65,Fit
36,74,38,Unfit
24,83,29,Unfit
32,74,60,Fit
38,72,14,Unfit
25,100,54,Unfit
44,80,31,Unfit
47,81,56,Fit
44,63,32,Unfit
27,74,62,Fit
33,56,59,Fit
37,81,46,Fit
31,87,44,Unfit
20,51,63,Fit
28,91,19,Unfit
47,86,25,Unfit
36,83,32,Unfit
36,62,43,Fit
32,65,21,Unfit
49,74,45,Fit
23,63,34,Unfit
41,66,64,Fit
44,88,31,Unfit
37,78,47,Fit
41,77,63,Fit
24,56,62,Fit
42,51,36,Unfit
28,100,49,Unfit
27,63,30,Unfit
25,81,29,Unfit
50,68,63,Fit
22,91,37,Unfit
25,66,44,Fit
24,85,58,Unfit
34,52,32,Unfit
21,60,35,Unfit
20,77,28,Unfit
39,73,47,Fit
32,93,31,Unfit
20,67,63,Fit
37,63,18,Unfit
31,87,10,Unfit
33,62,39,Unfit
35,91,63,Unfit
25,96,23,Unfit
42,70,39,Unfit
36,86,52,Unfit
38,74,53,Fit
29,86,46,Unfit
47,70,61,Fit
37,56,38,Unfit
42,100,54,Unfit
30,79,61,Fit
27,71,13,Unfit
27,63,50,Fit
48,91,31,Unfit
23,52,27,Unfit
20,90,50,Unfit
35,93,61,Unfit
37,69,57,Fit
32,99,12,Unfit
23,61,57,Fit
29,70,33,Unfit
28,83,23,Unfit
40,60,25,Unfit
20,56,38,Unfit
38,59,18,Unfit
50,73,39,Unfit
30,99,42,Unfit
31,61,49,Fit
33,96,27,Unfit
37,76,38,Fit
30,88,34,Unfit
42,77,29,Unfit
24,80,49,Fit
27,89,22,Unfit
46,94,35,Unfit
35,60,60,Fit
38,55,51,Fit
45,91,17,Unfit
43,79,26,Unfit
44,92,16,Unfit
20,84,44,Fit
41,99,13,Unfit
26,52,63,Fit
47,73,26,Unfit
28,97,22,Unfit
36,68,40,Fit
29,59,56,Fit
48,86,32,Unfit
21,53,64,Fit
32,90,20,Unfit
25,75,41,Fit
34,87,25,Unfit
39,70,45,Fit
31,61,58,Fit
38,79,30,Unfit
45,85,19,Unfit
40,98,12,Unfit
28,66,46,Fit
33,74,41,Fit
35,91,15,Unfit
27,69,50,Fit
44,95,18,Unfit
36,71,39,Fit
29,78,35,Unfit
23,56,60,Fit
39,65,45,Fit
48,99,20,Unfit
24,54,59,Fit
41,83,31,Fit
22,58,63,Fit
47,89,19,Unfit
30,72,43,Fit
26,68,44,Fit
43,87,16,Unfit
25,79,36,Fit
42,96,11,Unfit
37,66,46,Fit
31,77,40,Fit
34,60,53,Fit
40,82,33,Fit
38,84,36,Fit
23,51,65,Fit
45,93,14,Unfit
29,73,47,Fit
46,86,23,Unfit
20,57,61,Fit
27,70,42,Fit
33,80,38,Fit
21,62,59,Fit
32,94,12,Unfit
35,81,40,Fit
24,63,51,Fit
44,97,15,Unfit
39,67,45,Fit
30,76,36,Fit
26,85,18,Unfit
41,90,25,Unfit
28,55,55,Fit
48,88,14,Unfit
36,61,49,Fit
25,74,43,Fit
40,100,13,Unfit
27,58,52,Fit
31,82,29,Unfit
45,93,21,Unfit
22,59,62,Fit
42,95,10,Unfit
20,50,65,Fit
38,73,44,Fit
35,78,37,Fit
37,83,32,Fit
29,71,42,Fit
26,64,53,Fit
34,92,13,Unfit
23,60,60,Fit
33,68,45,Fit
47,98,19,Unfit
24,69,46,Fit
30,86,27,Unfit
21,56,64,Fit
39,66,40,Fit
28,62,55,Fit
43,91,15,Unfit
25,77,39,Fit
36,93,22,Unfit
44,88,18,Unfit
22,54,63,Fit

